soccode, level1, level2, level3, level4, fullcode, title, description
29-1061,NOPE,NOPE,NOPE,NOPE,29-1061.00,Anesthesiologists,"Physicians who administer anesthetics prior to, during, or after surgery or other medical procedures."
29-1062,NOPE,NOPE,NOPE,NOPE,29-1062.00,Family and General Practitioners,"Physicians who diagnose, treat, and help prevent diseases and injuries that commonly occur in the general population. May refer patients to specialists when needed for further diagnosis or treatment."
29-1063,NOPE,NOPE,NOPE,NOPE,29-1063.00,"Internists, General",Physicians who diagnose and provide non-surgical treatment of diseases and injuries of internal organ systems. Provide care mainly for adults who have a wide range of problems associated with the internal organs.
29-1064,NOPE,NOPE,NOPE,NOPE,29-1064.00,Obstetricians and Gynecologists,"Physicians who provide medical care related to pregnancy or childbirth and those who diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system. May also provide general medical care to women."
29-1065,NOPE,NOPE,NOPE,NOPE,29-1065.00,"Pediatricians, General","Physicians who diagnose, treat, and help prevent childrens diseases and injuries."
29-1066,NOPE,NOPE,NOPE,NOPE,29-1066.00,Psychiatrists,"Physicians who diagnose, treat, and help prevent disorders of the mind."
29-1067,NOPE,NOPE,NOPE,NOPE,29-1067.00,Surgeons,"Physicians who treat diseases, injuries, and deformities by invasive, minimally-invasive, or non-invasive surgical methods, such as using instruments, appliances, or by manual manipulation."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.12,Urologists,"Diagnose, treat, and help prevent benign and malignant medical and surgical disorders of the genitourinary system and the renal glands."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.11,Sports Medicine Physicians,"Diagnose, treat, and help prevent injuries that occur during sporting events, athletic training, and physical activities."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.10,Radiologists,Examine and diagnose disorders and diseases using x-rays and radioactive materials. May treat patients.
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.09,Preventive Medicine Physicians,"Apply knowledge of general preventive medicine and public health issues to promote health care to groups or individuals, and aid in the prevention or reduction of risk of disease, injury, disability, or death. May practice population-based medicine or diagnose and treat patients in the context of clinical health promotion and disease prevention."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.08,Physical Medicine and Rehabilitation Physicians,"Diagnose and treat disorders requiring physiotherapy to provide physical, mental, and occupational rehabilitation."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.07,Pathologists,"Diagnose presence and stage of diseases using laboratory techniques and patient specimens. Study the nature, cause, and development of diseases. May perform autopsies."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.06,Ophthalmologists,"Diagnose, treat, and help prevent diseases and injuries of the eyes and related structures."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.05,Nuclear Medicine Physicians,"Diagnose and treat diseases using radioactive materials and techniques. May monitor radionuclide preparation, administration, and disposition."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.04,Neurologists,"Diagnose, treat, and help prevent diseases and disorders of the nervous system."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.03,Hospitalists,"Provide inpatient care predominantly in settings such as medical wards, acute care units, intensive care units, rehabilitation centers, or emergency rooms. Manage and coordinate patient care throughout treatment."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.02,Dermatologists,"Diagnose, treat, and help prevent diseases or other conditions of the skin."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.01,Allergists and Immunologists,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system."
29-1069,NOPE,NOPE,NOPE,NOPE,29-1069.00,"Physicians and Surgeons, All Other",All physicians and surgeons not listed separately.
11-1011,NOPE,NOPE,NOPE,NOPE,11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy."
11-1011,NOPE,NOPE,NOPE,NOPE,11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
11-1021,28.19,49.99,71.78,93.58,11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services."
11-1031,34560.00,109363.00,184167.00,258970.00,11-1031.00,Legislators,"Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions."
11-2011,35.14,55.74,76.34,96.94,11-2011.01,Green Marketers,Create and implement methods to market green products and services.
11-2011,35.14,55.74,76.34,96.94,11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
11-2021,28.34,47.04,65.75,84.45,11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firms profits or share of the market while ensuring the firms customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."
11-2022,37.32,62.40,87.48,112.56,11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."
11-2031,44.35,73.55,102.76,131.96,11-2031.00,Public Relations and Fundraising Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
