soccode, level1, level2, level3, level4, fullcode, title, description
11-1011,NOPE,NOPE,NOPE,NOPE,11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy."
11-1011,NOPE,NOPE,NOPE,NOPE,11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
11-1021,44.33,73.37,102.42,131.46,11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services."
11-1031,47310.00,89293.00,131277.00,173260.00,11-1031.00,Legislators,"Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level. Includes only workers in elected positions."
11-2011,44.85,61.63,78.40,95.18,11-2011.01,Green Marketers,Create and implement methods to market green products and services.
11-2011,44.85,61.63,78.40,95.18,11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
11-2021,56.61,69.69,82.78,95.86,11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firms profits or share of the market while ensuring the firms customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."
11-2022,NOPE,NOPE,NOPE,NOPE,11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."
11-2031,55.67,78.78,101.89,125.00,11-2031.00,Public Relations and Fundraising Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
11-3011,56.70,68.62,80.53,92.45,11-3011.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services."
11-3021,64.05,84.63,105.21,125.79,11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming."
11-3031,NOPE,NOPE,NOPE,NOPE,11-3031.02,"Financial Managers, Branch or Department","Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department."
11-3031,NOPE,NOPE,NOPE,NOPE,11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization."
11-3031,NOPE,NOPE,NOPE,NOPE,11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment."
11-3051,44.82,64.32,83.82,103.32,11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.
11-3051,44.82,64.32,83.82,103.32,11-3051.05,Methane/Landfill Gas Collection System Operators,"Direct daily operations, maintenance, or repair of landfill gas projects, including maintenance of daily logs, determination of service priorities, and compliance with reporting requirements."
11-3051,44.82,64.32,83.82,103.32,11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff."
11-3051,44.82,64.32,83.82,103.32,11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures."
11-3051,44.82,64.32,83.82,103.32,11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.
11-3051,44.82,64.32,83.82,103.32,11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts."
11-3051,44.82,64.32,83.82,103.32,11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
11-3061,52.72,60.39,68.05,75.72,11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers."
11-3071,46.93,56.30,65.66,75.03,11-3071.03,Logistics Managers,"Plan, direct, or coordinate purchasing, warehousing, distribution, forecasting, customer service, or planning services. Manage logistics personnel and logistics systems and direct daily operations."
11-3071,46.93,56.30,65.66,75.03,11-3071.02,Storage and Distribution Managers,"Plan, direct, or coordinate the storage or distribution operations within an organization or the activities of organizations that are engaged in storing or distributing materials or products."
11-3071,46.93,56.30,65.66,75.03,11-3071.01,Transportation Managers,"Plan, direct, or coordinate the transportation operations within an organization or the activities of organizations that provide transportation services."
11-3071,46.93,56.30,65.66,75.03,11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers."
11-3111,50.77,68.44,86.10,103.77,11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization."
11-3121,44.36,59.48,74.60,89.72,11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization."
11-3131,NOPE,NOPE,NOPE,NOPE,11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization."
11-9013,43.79,50.02,56.26,62.49,11-9013.03,Aquacultural Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners."
11-9013,43.79,50.02,56.26,62.49,11-9013.02,Farm and Ranch Managers,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, or supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, financial, or marketing activities."
11-9013,43.79,50.02,56.26,62.49,11-9013.01,Nursery and Greenhouse Managers,"Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants."
11-9013,43.79,50.02,56.26,62.49,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities."
11-9021,45.08,59.88,74.67,89.47,11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing."
11-9031,22.19,34.04,45.88,57.73,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program","Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs."
11-9032,104940.00,118160.00,131380.00,144600.00,11-9032.00,"Education Administrators, Elementary and Secondary School","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools."
11-9033,35.26,57.43,79.59,101.76,11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges."
11-9039,22.87,34.19,45.52,56.84,11-9039.02,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors."
11-9039,22.87,34.19,45.52,56.84,11-9039.01,Distance Learning Coordinators,Coordinate day-to-day operations of distance learning programs and schedule courses.
11-9039,22.87,34.19,45.52,56.84,11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.
11-9041,56.42,72.76,89.11,105.45,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential."
11-9041,56.42,72.76,89.11,105.45,11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields."
11-9051,28.09,39.78,51.46,63.15,11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."
11-9061,NOPE,NOPE,NOPE,NOPE,11-9061.00,Funeral Service Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes."
11-9071,35.31,45.15,54.99,64.83,11-9071.00,Gaming Managers,"Plan, direct, or coordinate gaming operations in a casino. May formulate house rules."
11-9081,23.83,27.63,31.42,35.22,11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."
11-9111,44.56,57.18,69.79,82.41,11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
11-9121,NOPE,NOPE,NOPE,NOPE,11-9121.02,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues."
11-9121,NOPE,NOPE,NOPE,NOPE,11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data."
11-9121,NOPE,NOPE,NOPE,NOPE,11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."
11-9131,36.09,40.47,44.86,49.24,11-9131.00,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."
11-9141,22.03,32.18,42.34,52.49,11-9141.00,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way)."
11-9151,27.52,30.42,33.32,36.22,11-9151.00,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organizations budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers."
11-9161,30.60,41.28,51.96,62.64,11-9161.00,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."
11-9199,56.42,70.19,83.96,97.73,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.
11-9199,56.42,70.19,83.96,97.73,11-9199.10,Wind Energy Project Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects."
11-9199,56.42,70.19,83.96,97.73,11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning."
11-9199,56.42,70.19,83.96,97.73,11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures."
11-9199,56.42,70.19,83.96,97.73,11-9199.07,Security Managers,"Direct an organizations security functions, including physical security and safety of employees, facilities, and assets."
11-9199,56.42,70.19,83.96,97.73,11-9199.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory."
11-9199,56.42,70.19,83.96,97.73,11-9199.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors."
11-9199,56.42,70.19,83.96,97.73,11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards."
11-9199,56.42,70.19,83.96,97.73,11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures."
11-9199,56.42,70.19,83.96,97.73,11-9199.00,"Managers, All Other",All managers not listed separately.
13-1011,25.03,32.77,40.51,48.25,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients."
13-1021,27.70,36.69,45.69,54.68,13-1021.00,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers."
13-1022,27.70,36.69,45.69,54.68,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. Includes assistant wholesale and retail buyers of nonfarm products."
13-1023,27.70,36.69,45.69,54.68,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semi-finished materials for manufacturing."
13-1031,27.68,36.07,44.45,52.84,13-1031.02,"Insurance Adjusters, Examiners, and Investigators","Investigate, analyze, and determine the extent of insurance companys liability concerning personal, casualty, or property loss or damages, and attempt to effect settlement with claimants. Correspond with or interview medical specialists, agents, witnesses, or claimants to compile information. Calculate benefit payments and approve payment of claims within a certain monetary limit."
13-1031,27.68,36.07,44.45,52.84,13-1031.01,"Claims Examiners, Property and Casualty Insurance","Review settled insurance claims to determine that payments and settlements have been made in accordance with company practices and procedures. Report overpayments, underpayments, and other irregularities. Confer with legal counsel on claims requiring litigation."
13-1031,27.68,36.07,44.45,52.84,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.
